barcode,length,width,height
2089701681266,20.0,18.0,5.0
2100000050314,23.0,9.5,0.1
2112345677828,37.0,11.0,14.0
2112345678917,7.0,5.5,11.0
21234811,13.5,6.0,2.5
21235313,5.5,5.5,6.3
21241215,14.0,8.0,0.2
2150202101543,28.0,22.5,10.0
21538704,13.5,1.5,0.5
21544958,7.0,4.0,5.0
21545696,8.0,8.0,4.0
21546709,14.5,6.0,3.5
2154785695413,25.0,8.5,6.0
2160516011100,16.5,16.5,1.5
21616549,6.0,5.0,0.3
21622427,12.0,5.0,2.0
21622519,7.0,5.0,2.0
21623158,11.5,5.0,3.0
2166543510340,23.0,7.0,12.5
2166543511347,14.0,12.0,14.0
2166543511392,30.0,13.0,1.2
21704307,19.0,18.5,3.0
21803574,32.0,10.5,2.0
2181815041131,11.0,7.0,17.0
2181830003114,15.6,5.6,0.1
2181830003275,15.5,6.0,0.3
21830518,22.0,13.0,2.0
21910265,8.0,6.0,9.0
22286907941,14.0,16.0,12.0
22286907996,27.5,26.0,25.0
22286931588,8.0,8.0,8.0
22286932318,13.0,12.0,12.0
2269854875860,9.0,2.5,14.5
2269884576010,8.5,2.5,14.0
2303002500300,38.0,14.0,39.0
2312345600097,38.0,8.0,7.0
2400000038870,6.0,6.0,19.0
2401051800072,11.5,11.5,1.5
2439400234643,6.5,6.5,20.5
2454541114456,26.0,11.0,4.5
2457868765547,20.0,6.0,7.0
2458954674521,46.7,10.0,5.0
2490000190395,16.0,1.5,8.0
2541279860837,9.0,9.0,25.0
2541279860868,7.5,7.5,15.0
2541279860875,8.0,8.0,15.0
2541279860899,7.0,7.0,16.0
2541279860936,8.0,8.0,21.0
2548956451234,8.0,4.0,25.3
2562145269561,11.0,5.0,16.5
2564879546239,21.5,9.0,1.5
25725456468,26.0,16.0,16.0
2620001263198,33.0,9.0,1.0
26621,24.0,12.0,2.0
26635043519,20.5,14.0,0.3
26635047456,18.5,14.0,1.0
26635058131,25.5,18.5,0.5
26635070737,20.0,14.5,0.3
26635070768,19.0,14.0,0.5
26635072557,18.5,14.0,0.3
26635076883,26.0,19.0,0.3
26635076906,19.0,14.0,0.5
26635077019,25.5,18.5,0.5
26635077644,25.5,18.5,0.3
26635084338,18.5,14.0,0.3
26635159784,18.5,14.0,0.3
26635160681,20.0,14.0,0.3
26635160711,19.0,14.5,0.5
26635160742,20.5,14.5,0.4
26635161039,20.5,14.0,0.3
26635172639,18.5,14.0,0.3
26635172646,20.5,14.0,0.5
26635172707,21.0,14.0,0.3
26635177535,25.5,19.5,0.3
26635178594,20.0,14.0,0.5
26635178969,26.0,19.0,0.3
26635181624,18.5,14.0,0.3
26635182980,25.5,18.5,0.3
26635186599,20.0,14.0,1.0
26635193467,18.5,14.0,0.3
26635203098,20.5,14.0,0.3
26635217538,25.5,18.5,2.0
26635218436,25.5,19.0,0.5
26635219372,28.5,18.5,1.0
26635234740,25.5,18.5,2.0
266352359009,18.5,14.0,0.7
26635245487,18.5,14.0,0.3
26635245494,20.5,14.0,0.3
26635245753,26.0,14.0,0.5
26635245838,26.0,19.0,0.4
26635248143,25.5,18.5,0.5
26635248167,20.5,14.0,0.5
26635248174,26.0,18.5,0.5
26635249164,26.0,19.0,0.5
26635251815,26.0,19.0,0.3
26635252409,20.5,14.0,1.0
26635252416,20.5,14.0,1.0
26635253574,20.5,14.0,0.5
26635257701,20.5,14.0,0.3
26635262002,20.0,14.0,0.5
26635263641,26.0,18.5,2.0
26635264211,20.0,14.0,0.5
26635264303,25.5,18.5,0.3
26635264631,25.5,18.5,0.5
26635264655,25.5,19.0,0.5
26635264679,25.5,18.5,0.3
26635265546,20.5,14.0,0.3
26635265560,20.5,14.0,1.0
26635266185,18.5,14.0,0.3
26635267588,18.5,14.0,0.3
26635268189,18.5,14.0,0.3
26635270809,20.5,14.0,0.5
26635270816,20.0,14.0,0.5
26635274579,20.5,14.0,0.3
26635275293,20.5,14.0,0.5
26635275316,25.5,19.0,0.5
26635275330,20.5,14.0,0.5
26635275767,25.5,18.5,0.3
26635279895,20.0,40.0,1.0
26635281621,25.5,18.5,0.5
26635282567,19.0,14.5,0.4
26635284455,25.5,18.5,0.3
26635284493,19.5,9.5,0.5
26635284547,20.5,14.5,0.5
26635287388,20.5,14.0,0.3
26635290173,20.0,14.0,0.5
26635293334,25.5,18.5,0.5
26635294607,25.5,18.5,0.5
26635296922,25.5,18.5,0.5
26635298032,19.5,14.5,0.3
26635298063,20.5,14.0,0.3
26635299480,20.5,14.0,0.5
26635300650,20.5,14.0,0.3
26635301794,20.5,14.0,0.3
26635301800,20.5,14.0,0.5
26635301824,25.5,18.5,0.3
26635304009,25.5,18.5,0.5
26635306454,20.5,14.0,0.5
26635306478,20.0,14.0,0.5
26635306645,18.5,14.0,0.3
26635307451,20.0,14.0,0.3
26635307475,19.5,14.0,0.3
26635307802,18.5,14.0,0.3
26635309172,20.5,14.0,1.0
26635309264,20.5,14.0,0.3
26635309523,26.0,20.0,0.4
26635312998,18.5,14.0,0.5
26635313001,25.5,18.5,0.5
26635313858,25.5,18.5,0.5
26635317054,20.0,14.5,0.5
26635319096,20.5,14.0,0.3
26635320139,20.5,14.0,0.3
26635321099,20.5,14.0,0.3
26635321181,20.5,14.0,0.3
26635321310,19.0,14.5,0.3
26635321761,20.5,14.5,0.2
26635322492,18.5,14.0,1.0
26635322515,28.0,18.5,0.3
